timestamp,symbol,strategy,stage,block_reason
2025-12-05T09:57:43.999Z,AUDUSD,sma_trend_ride,attempt,POSITION_LIMIT
2025-12-05T09:57:44.848Z,ADAGBP,mean_reversion,attempt,
2025-12-05T09:57:45.068Z,CVXUSD,mean_reversion,attempt,
2025-12-05T09:57:45.219Z,ADAGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:45.456Z,CVXUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:46.149Z,ADAUSDC,mean_reversion,attempt,
2025-12-05T09:57:46.383Z,DOTEUR,mean_reversion,attempt,
2025-12-05T09:57:46.520Z,ADAUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:46.764Z,DOTEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:47.295Z,ADAUSDT,mean_reversion,attempt,
2025-12-05T09:57:47.688Z,ADAUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:47.764Z,DOTGBP,mean_reversion,attempt,
2025-12-05T09:57:48.152Z,DOTGBP,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:48.812Z,ATOMEUR,mean_reversion,attempt,
2025-12-05T09:57:49.028Z,DOTUSD,mean_reversion,attempt,
2025-12-05T09:57:49.191Z,ATOMEUR,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:49.393Z,DOTUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:50.155Z,DOTUSDC,mean_reversion,attempt,
2025-12-05T09:57:50.188Z,ATOMUSD,mean_reversion,attempt,
2025-12-05T09:57:50.516Z,DOTUSDC,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:50.567Z,ATOMUSD,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:51.544Z,DOTUSDT,mean_reversion,attempt,
2025-12-05T09:57:51.914Z,DOTUSDT,mean_reversion,attempt,MAX_POSITION
2025-12-05T09:57:52.175Z,AUDUSD,vwap_pullback,attempt,
2025-12-05T09:57:52.397Z,AUDUSD,vwap_pullback,attempt,POSITION_LIMIT
2025-12-05T09:57:52.732Z,AUDUSD,sma_trend_ride,attempt,
2025-12-05T09:57:52.908Z,XETCZUSD,mean_reversion,attempt,
