timestamp,symbol,strategy,entry_price,portfolio_balance,max_single_position_allowed,max_total_exposure_allowed,current_total_exposure,calculated_quantity,calculated_notional,buffered_max_notional,block_reason
2025-12-05T10:01:42.402Z,ADAAUD,mean_reversion,0.65049985,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T10:01:42.653Z,XTZUSD,mean_reversion,0.49038989999999993,32000,4800,8000,0,0,87360.00000000131,4656,MAX_POSITION
2025-12-05T10:01:43.552Z,DOTUSD,mean_reversion,2.2425403,32000,4800,8000,0,0,87359.99999999948,4656,MAX_POSITION
2025-12-05T10:01:43.679Z,ADAEUR,mean_reversion,0.370065696,32000,4800,8000,0,0,87359.99999999996,4656,MAX_POSITION
2025-12-05T10:01:44.868Z,DOTUSDC,mean_reversion,2.246244,32000,4800,8000,0,0,87360.00000000103,4656,MAX_POSITION
2025-12-05T10:01:44.998Z,ADAGBP,mean_reversion,0.32294261999999996,32000,4800,8000,0,0,87360.00000000116,4656,MAX_POSITION
2025-12-05T10:01:46.109Z,ADAUSDC,mean_reversion,0.43210667499999994,32000,4800,8000,0,0,87360.000000001,4656,MAX_POSITION
2025-12-05T10:01:46.249Z,DOTUSDT,mean_reversion,2.2456433999999996,32000,4800,8000,0,0,87360.00000000051,4656,MAX_POSITION
2025-12-05T10:01:47.158Z,ADAUSDT,mean_reversion,0.4316061749999999,32000,4800,8000,0,0,87360.00000000084,4656,MAX_POSITION
2025-12-05T10:01:47.367Z,XETCZUSD,mean_reversion,13.601587999999998,32000,4800,8000,0,0,87360.00000000067,4656,MAX_POSITION
2025-12-05T10:01:47.731Z,LINK/USD,vwap_pullback,14.064060009999999,32000,4800,8000,0,331.05660788488063,4656,4656,PASS
2025-12-05T10:01:48.635Z,ATOMEUR,mean_reversion,1.9505485999999999,32000,4800,8000,0,0,87360.00000000057,4656,MAX_POSITION
2025-12-05T10:01:48.981Z,ETHFIEUR,mean_reversion,0.6881875,32000,4800,8000,0,0,87360.00000000096,4656,MAX_POSITION
2025-12-05T10:01:49.994Z,ATOMUSD,mean_reversion,2.2728705999999996,32000,4800,8000,0,0,87360.00000000148,4656,MAX_POSITION
2025-12-05T10:01:50.413Z,ETHFIUSD,mean_reversion,0.7996989,32000,4800,8000,0,0,87360.0000000004,4656,MAX_POSITION
2025-12-05T10:01:50.475Z,XRP/CAD,vwap_pullback,2.8791562799999997,32000,4800,8000,0,1617.1404214292947,4656,4656,PASS
2025-12-05T10:01:51.768Z,EURCAD,vwap_pullback,1.6267250999999998,32000,4800,8000,0,0,229660.78517511568,4656,MAX_POSITION
2025-12-05T10:01:51.871Z,SOL/USD,vwap_pullback,136.61647999999997,32000,4800,8000,0,34.080807820549914,4656,4656,PASS
2025-12-05T10:01:52.440Z,EURCAD,vwap_bounce,1.6267250999999998,32000,4800,8000,0,0,229660.78517511568,4656,MAX_POSITION
2025-12-05T10:01:53.137Z,CVXUSD,mean_reversion,1.8218199999999998,32000,4800,8000,0,0,87360.00000000128,4656,MAX_POSITION
2025-12-05T10:01:53.816Z,EWTUSD,mean_reversion,0.6906899999999999,32000,4800,8000,0,0,87360.00000000016,4656,MAX_POSITION
2025-12-05T10:01:54.758Z,DOTEUR,mean_reversion,1.9267248,32000,4800,8000,0,0,87360.00000000095,4656,MAX_POSITION
2025-12-05T10:01:55.428Z,FORTHUSD,sma_trend_ride,1.740474,32000,4800,8000,0,0,108900.15251254568,4656,MAX_POSITION
2025-12-05T10:01:55.851Z,DOTGBP,mean_reversion,1.6791774999999998,32000,4800,8000,0,0,87360.00000000112,4656,MAX_POSITION
2025-12-05T10:01:56.121Z,FORTHUSD,mean_reversion,1.738737,32000,4800,8000,0,0,87360.00000000007,4656,MAX_POSITION
2025-12-05T10:01:56.969Z,DOTUSD,mean_reversion,2.2425403,32000,4800,8000,0,0,87359.99999999948,4656,MAX_POSITION
