population,asset_class,symbol,horizon_min,valid_origins,potential_row_offset_origins,origins_rejected_for_gaps,signed_endpoint_bps_p10,signed_endpoint_bps_p50,signed_endpoint_bps_p90,signed_endpoint_bps_p99,absolute_endpoint_bps_p10,absolute_endpoint_bps_p50,absolute_endpoint_bps_p90,absolute_endpoint_bps_p99,future_up_excursion_bps_p10,future_up_excursion_bps_p50,future_up_excursion_bps_p90,future_up_excursion_bps_p99,future_down_excursion_bps_p10,future_down_excursion_bps_p50,future_down_excursion_bps_p90,future_down_excursion_bps_p99
xstock_spot; NKE/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NKE/USD,240,253,2900,2647,-48.19985558057738,46.98512137822908,93.1489906311831,120.12318889006018,18.24723220563973,56.121117201775036,93.1489906311831,120.12318889006018,35.588363333523446,88.74967371443444,132.584282234383,175.3809774040982,2.885522035120051,18.324607329842646,76.90302398331683,97.45091729444492
xstock_spot; NOC/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NOC/USD,5,278,1077,799,-18.73133930382964,-1.0787024365382925,16.087357647898596,32.251400584397025,1.3505212562736624,8.808302169199811,23.791784304427082,46.26325055834657,-1.6927379762308181,5.503283654386681,19.669657736190125,42.439618569825825,-1.1450023413621668,7.0158053543928345,23.89030546166316,45.8666348719631
xstock_spot; NOC/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NOC/USD,15,50,1067,1017,-22.600103276798624,4.130327328635275,21.624396946251068,45.321887172044015,2.768812597481851,11.402322848338976,28.87703759105154,48.95768804936978,0.13037540704274894,9.838144523466319,27.10536633323679,56.972770414252714,-0.2110893742268693,11.16794055892878,30.512766008825146,54.994948677568374
xstock_spot; NOC/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NOC/USD,60,0,1022,1022,,,,,,,,,,,,,,,,
xstock_spot; NOC/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NOC/USD,240,0,842,842,,,,,,,,,,,,,,,,
xstock_spot; NOW/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NOW/USD,5,1637,2969,1332,-29.540451979907623,0.34772932749227436,27.62678463777225,80.08267049052385,2.1111955721311304,12.9510378817832,43.15313524793709,116.20198998683038,0.6761782405861894,10.850922328398127,37.374240954688005,116.33880439751995,0.7084568011925807,11.837615764920262,40.67324538659701,102.23431414767371
xstock_spot; NOW/USD; contiguous 16 minute bars; origin close to future 15m; supplied window; overlapping origins; no fill claim,xstock_spot,NOW/USD,15,1531,2959,1428,-52.09643229260208,-1.3938253536838197,50.02431737650248,119.19573156665388,4.575853572685862,24.756079801951934,72.12225078549127,155.98915262955336,2.1171489061400095,19.7281893906176,65.6621509538291,170.83032635208843,2.4057462968707366,21.607452800114224,73.31171577611872,157.96819680033215
xstock_spot; NOW/USD; contiguous 61 minute bars; origin close to future 60m; supplied window; overlapping origins; no fill claim,xstock_spot,NOW/USD,60,1341,2914,1573,-107.82967032966995,-15.28606784102493,79.22718743484714,165.17979659401936,11.723329425556983,48.466385100047745,128.97857291449765,191.75267906628915,5.063291139240089,43.86606228980794,124.41133056863674,214.43224755980148,5.609704789286685,52.82873547122313,152.2366522366514,225.3424657534242
xstock_spot; NOW/USD; contiguous 241 minute bars; origin close to future 240m; supplied window; overlapping origins; no fill claim,xstock_spot,NOW/USD,240,621,2734,2113,-154.22136145183285,-10.23765996343573,139.86515564481604,203.34881178539095,10.450048766894593,70.82252296472858,183.2731949555233,298.46120043067083,10.122921185826694,80.86441268734923,203.76284365454023,290.8028627830236,23.452490938811188,115.9553096253485,242.75412087912173,343.007263683312
xstock_spot; NRG/USD; contiguous 6 minute bars; origin close to future 5m; supplied window; overlapping origins; no fill claim,xstock_spot,NRG/USD,5,929,1449,520,-25.424683983678918,1.28545719427553,34.83100650312343,101.18350208788611,2.5797392454034456,13.893566857527961,43.94391238995344,108.48474663772795,-1.92015545022683,11.463157412077152,42.600117924164415,111.63132485186453,-2.231226870305747,10.939077751599413,33.82077498645986,89.05084478674998
